,날짜,1회공급량,공급ec,공급ph,CO2,습도,광량,내부온도,상부온도
96,2021-12-23,95.625,2.9,5.85,421.3045897079277,90.19029860917941,47.27481418150209,15.447180806675938,15.016879694019472
97,2021-12-24,99.16666666666667,2.9,5.85,470.5833333333333,93.18391090277778,4.015431097222222,13.236277708333335,12.735615625
98,2021-12-25,99.54545454545455,2.9,6.15,420.1514940931202,89.3775211952745,26.799269852675472,13.760222932592079,13.305380611535789
99,2021-12-25,99.54545454545455,2.9,6.15,420.1514940931202,89.3775211952745,26.799269852675472,13.760222932592079,13.305380611535789
100,2021-12-26,99.0909090909091,2.8499999999999996,6.0,405.9173036831133,87.552012647672,28.875016195969426,14.236339888811674,13.79234489228631
101,2021-12-27,95.625,2.9,5.95,410.4839609483961,89.47900251046025,20.814448256624825,13.599956415620643,13.222216387726638
102,2021-12-28,105.0,2.9,3.5,456.2710951526032,88.17034919210055,0.020672561938958705,12.669241651705565,12.151752962298024
103,2021-12-29,100.0,2.8,6.4,,,,,
104,2021-12-30,97.14285714285714,2.8499999999999996,6.4,388.1244695898161,88.76954455445545,17.028916937765207,14.18936152758133,13.702993635077792
105,2021-12-31,93.88888888888889,2.9,6.1,390.73347251217814,83.97930494084899,28.60209507446068,14.68950431454419,14.305549269311065
106,2022-01-01,97.14285714285714,2.8499999999999996,6.3,368.44954766875435,83.85771684064022,31.741858001391787,14.959195337508698,14.594486875434933
107,2022-01-01,97.14285714285714,2.8499999999999996,6.3,368.44954766875435,83.85771684064022,31.741858001391787,14.959195337508698,14.594486875434933
108,2022-01-02,103.33333333333333,2.9,6.4,370.16691505216096,85.82125335320417,28.565443666169898,14.770794113263785,14.392662742175856
109,2022-01-02,100.0,2.9,5.5,370.16691505216096,85.82125335320417,28.565443666169898,14.770794113263785,14.392662742175856
110,2022-01-03,95.0,2.9,6.3,387.38343771746696,84.47280431454419,36.57968131941545,14.92125720250522,14.630269519832986
111,2022-01-03,91.25,2.9,5.9,387.38343771746696,84.47280431454419,36.57968131941545,14.92125720250522,14.630269519832986
112,2022-01-04,96.11111111111111,2.9,6.05,404.04933981931896,84.55700277970813,54.01712866018069,14.904174218207089,14.625954134815844
113,2022-01-04,91.25,2.8,5.9,404.04933981931896,84.55700277970813,54.01712866018069,14.904174218207089,14.625954134815844
114,2022-01-05,95.0,2.9,5.09,409.0125,86.40775979166666,19.535374340972222,12.91673361111111,12.500392083333335
115,2022-01-05,95.0,2.9,5.9,409.0125,86.40775979166666,19.535374340972222,12.91673361111111,12.500392083333335
116,2022-01-06,95.625,2.9,6.05,421.3922114047288,82.82072851182197,57.06539895201669,15.092817941585535,14.832457301808066
117,2022-01-06,91.25,2.9,5.9,421.3922114047288,82.82072851182197,57.06539895201669,15.092817941585535,14.832457301808066
118,2022-01-07,93.75,2.9,6.0,428.31293463143254,82.68816418636996,45.9301981891516,15.251376286509041,14.893245271210015
119,2022-01-07,115.0,2.9,5.9,428.31293463143254,82.68816418636996,45.9301981891516,15.251376286509041,14.893245271210015
120,2022-01-07,93.75,2.9,6.0,428.31293463143254,82.68816418636996,45.9301981891516,15.251376286509041,14.893245271210015
121,2022-01-09,,2.9,6.1,427.6519790888723,86.50721150112024,35.85426538013443,13.67808215085885,13.33163861090366
122,2022-01-09,92.5,2.9,5.8,427.6519790888723,86.50721150112024,35.85426538013443,13.67808215085885,13.33163861090366
