,farm_id,number,date,numberOfFruitPerPlant,numberOfFruitPerTruss,fruitingNode
348,tom1,004,20210930,1,3,3
349,tom1,004,20210930,1,4,4
350,tom1,004,20210930,1,4,4
351,tom1,004,20210930,1,5,5
352,tom1,004,20210930,1,5,5
353,tom1,004,20210930,1,5,5
354,tom1,004,20210930,1,7,7
355,tom1,005,20210930,1,2,2
356,tom1,005,20210930,1,4,4
357,tom1,005,20210930,1,5,5
358,tom1,005,20210930,1,5,5
359,tom1,005,20210930,1,5,5
360,tom1,005,20210930,1,7,7
361,tom1,006,20210930,1,4,4
362,tom1,006,20210930,1,4,4
363,tom1,006,20210930,1,7,7
364,tom1,006,20210930,1,8,8
365,tom1,007,20210930,1,3,3
366,tom1,007,20210930,1,3,3
367,tom1,007,20210930,1,4,4
368,tom1,007,20210930,1,4,4
369,tom1,007,20210930,1,4,4
370,tom1,007,20210930,1,5,5
371,tom1,007,20210930,1,7,7
372,tom1,007,20210930,1,8,8
373,tom1,008,20210930,1,3,3
374,tom1,008,20210930,1,4,4
375,tom1,008,20210930,1,8,8
376,tom1,009,20210930,1,3,3
377,tom1,009,20210930,1,4,4
378,tom1,009,20210930,1,4,4
379,tom1,009,20210930,1,5,5
380,tom1,009,20210930,1,5,5
381,tom1,009,20210930,1,5,5
382,tom1,009,20210930,1,7,7
383,tom1,009,20210930,1,8,8
384,tom1,009,20210930,1,8,8
385,tom1,010,20210930,1,4,4
386,tom1,010,20210930,1,5,5
387,tom1,010,20210930,1,6,6
388,tom1,010,20210930,1,8,8
389,tom1,011,20210930,1,4,4
390,tom1,011,20210930,1,5,5
391,tom1,011,20210930,1,5,5
392,tom1,011,20210930,1,6,6
393,tom1,011,20210930,1,7,7
394,tom1,011,20210930,1,7,7
395,tom1,012,20210930,1,3,3
396,tom1,012,20210930,1,5,5
397,tom1,012,20210930,1,7,7
398,tom1,012,20210930,1,8,8
399,tom1,012,20210930,1,8,8
400,tom1,013,20210930,1,4,4
401,tom1,013,20210930,1,4,4
402,tom1,013,20210930,1,6,6
403,tom1,013,20210930,1,7,7
404,tom1,013,20210930,1,7,7
405,tom1,014,20210930,1,3,3
406,tom1,014,20210930,1,3,3
407,tom1,014,20210930,1,7,7
408,tom1,015,20210930,1,3,3
409,tom1,015,20210930,1,4,4
410,tom1,015,20210930,1,6,6
411,tom1,015,20210930,1,6,6
412,tom1,015,20210930,1,7,7
413,tom1,015,20210930,1,8,8
414,tom1,016,20210930,1,3,3
415,tom1,016,20210930,1,4,4
416,tom1,016,20210930,1,6,6
417,tom1,016,20210930,1,7,7
418,tom1,017,20210930,1,3,3
419,tom1,017,20210930,1,5,5
420,tom1,017,20210930,1,5,5
421,tom1,017,20210930,1,7,7
422,tom1,017,20210930,1,8,8
423,tom1,017,20210930,1,8,8
424,tom1,018,20210930,1,3,3
425,tom1,018,20210930,1,3,3
426,tom1,018,20210930,1,5,5
427,tom1,018,20210930,1,5,5
428,tom1,018,20210930,1,7,7
429,tom1,019,20210930,1,2,2
430,tom1,019,20210930,1,4,4
431,tom1,019,20210930,1,5,5
432,tom1,019,20210930,1,5,5
433,tom1,019,20210930,1,7,7
434,tom1,019,20210930,1,8,8
435,tom1,019,20210930,1,8,8
436,tom1,020,20210930,1,3,3
437,tom1,020,20210930,1,3,3
438,tom1,020,20210930,1,6,6
439,tom1,020,20210930,1,6,6
440,tom1,021,20210930,1,3,3
441,tom1,021,20210930,1,3,3
442,tom1,021,20210930,1,5,5
443,tom1,021,20210930,1,5,5
444,tom1,022,20210930,1,3,3
445,tom1,022,20210930,1,4,4
446,tom1,022,20210930,1,4,4
447,tom1,023,20210930,1,3,3
448,tom1,023,20210930,1,3,3
449,tom1,023,20210930,1,5,5
450,tom1,023,20210930,1,7,7
451,tom1,023,20210930,1,7,7
452,tom1,023,20210930,1,8,8
453,tom1,023,20210930,1,8,8
454,tom1,024,20210930,1,4,4
455,tom1,024,20210930,1,6,6
456,tom1,024,20210930,1,6,6
457,tom1,024,20210930,1,6,6
458,tom1,024,20210930,1,7,7
459,tom1,024,20210930,1,7,7
460,tom1,024,20210930,1,7,7
461,tom1,024,20210930,1,7,7
462,tom1,024,20210930,1,8,8
463,tom1,024,20210930,1,8,8
464,tom1,025,20210930,1,4,4
465,tom1,025,20210930,1,4,4
466,tom1,025,20210930,1,5,5
467,tom1,025,20210930,1,5,5
468,tom1,026,20210930,1,5,5
469,tom1,026,20210930,1,5,5
470,tom1,026,20210930,1,6,6
471,tom1,026,20210930,1,7,7
472,tom1,027,20210930,1,4,4
473,tom1,027,20210930,1,5,5
474,tom1,027,20210930,1,6,6
475,tom1,027,20210930,1,7,7
476,tom1,027,20210930,1,7,7
477,tom1,027,20210930,1,8,8
478,tom1,028,20210930,1,4,4
479,tom1,028,20210930,1,4,4
480,tom1,028,20210930,1,5,5
481,tom1,028,20210930,1,5,5
482,tom1,028,20210930,1,6,6
483,tom1,028,20210930,1,6,6
484,tom1,028,20210930,1,7,7
485,tom1,029,20210930,1,4,4
486,tom1,029,20210930,1,4,4
487,tom1,029,20210930,1,5,5
488,tom1,029,20210930,1,5,5
489,tom1,029,20210930,1,6,6
490,tom1,030,20210930,1,3,3
491,tom1,030,20210930,1,4,4
492,tom1,030,20210930,1,5,5
493,tom1,030,20210930,1,5,5
494,tom1,030,20210930,1,6,6
495,tom1,030,20210930,1,6,6
496,tom1,030,20210930,1,6,6
497,tom1,030,20210930,1,6,6
498,tom1,030,20210930,1,7,7
499,tom1,030,20210930,1,7,7
500,tom1,030,20210930,1,8,8
501,tom1,031,20211001,1,3,3
502,tom1,031,20211001,1,3,3
503,tom1,031,20211001,1,4,4
504,tom1,031,20211001,1,4,4
505,tom1,032,20211001,1,3,3
506,tom1,032,20211001,1,4,4
507,tom1,033,20211001,1,4,4
508,tom1,034,20211001,1,4,4
509,tom1,034,20211001,1,4,4
510,tom1,034,20211001,1,4,4
511,tom1,035,20211001,1,4,4
512,tom1,035,20211001,1,4,4
513,tom1,036,20211001,1,4,4
514,tom1,037,20211001,1,4,4
515,tom1,038,20211001,1,3,3
516,tom1,038,20211001,1,4,4
517,tom1,038,20211001,1,4,4
518,tom1,038,20211001,1,5,5
519,tom1,038,20211001,1,6,6
520,tom1,038,20211001,1,7,7
521,tom1,038,20211001,1,7,7
522,tom1,038,20211001,1,8,8
523,tom1,038,20211001,1,8,8
524,tom1,039,20211001,1,4,4
525,tom1,039,20211001,1,7,7
526,tom1,040,20211001,1,3,3
527,tom1,040,20211001,1,4,4
528,tom1,040,20211001,1,5,5
529,tom1,040,20211001,1,6,6
530,tom1,040,20211001,1,7,7
531,tom1,041,20211001,1,3,3
532,tom1,041,20211001,1,6,6
533,tom1,041,20211001,1,7,7
534,tom1,041,20211001,1,7,7
535,tom1,041,20211001,1,8,8
536,tom1,041,20211001,1,8,8
537,tom1,042,20211001,1,5,5
538,tom1,042,20211001,1,7,7
539,tom1,042,20211001,1,7,7
540,tom1,042,20211001,1,7,7
541,tom1,043,20211001,1,3,3
542,tom1,043,20211001,1,4,4
543,tom1,043,20211001,1,4,4
544,tom1,043,20211001,1,5,5
545,tom1,043,20211001,1,5,5
546,tom1,043,20211001,1,7,7
547,tom1,043,20211001,1,7,7
548,tom1,044,20211001,1,4,4
549,tom1,044,20211001,1,4,4
550,tom1,044,20211001,1,6,6
551,tom1,044,20211001,1,8,8
552,tom1,045,20211001,1,4,4
553,tom1,045,20211001,1,4,4
554,tom1,045,20211001,1,4,4
555,tom1,045,20211001,1,6,6
556,tom1,045,20211001,1,7,7
557,tom1,045,20211001,1,7,7
558,tom1,045,20211001,1,8,8
559,tom1,045,20211001,1,8,8
560,tom1,046,20211001,1,3,3
561,tom1,046,20211001,1,4,4
562,tom1,046,20211001,1,5,5
563,tom1,046,20211001,1,5,5
564,tom1,046,20211001,1,7,7
565,tom1,046,20211001,1,7,7
566,tom1,046,20211001,1,7,7
567,tom1,046,20211001,1,8,8
568,tom1,047,20211001,1,3,3
569,tom1,047,20211001,1,4,4
570,tom1,047,20211001,1,5,5
571,tom1,047,20211001,1,5,5
572,tom1,047,20211001,1,7,7
573,tom1,047,20211001,1,7,7
574,tom1,047,20211001,1,8,8
575,tom1,048,20211001,1,3,3
576,tom1,048,20211001,1,4,4
577,tom1,048,20211001,1,6,6
578,tom1,048,20211001,1,7,7
579,tom1,048,20211001,1,7,7
580,tom1,048,20211001,1,8,8
581,tom1,049,20211001,1,3,3
582,tom1,049,20211001,1,4,4
583,tom1,049,20211001,1,5,5
584,tom1,049,20211001,1,5,5
585,tom1,049,20211001,1,6,6
586,tom1,049,20211001,1,7,7
587,tom1,049,20211001,1,8,8
588,tom1,050,20211001,1,3,3
589,tom1,050,20211001,1,3,3
590,tom1,050,20211001,1,4,4
591,tom1,050,20211001,1,5,5
592,tom1,050,20211001,1,6,6
593,tom1,050,20211001,1,7,7
594,tom1,050,20211001,1,7,7
595,tom1,050,20211001,1,8,8
596,tom1,051,20211001,1,3,3
597,tom1,051,20211001,1,4,4
598,tom1,051,20211001,1,5,5
